Total Times:	3
Total Samples:	20
Total Genes:	10
Time	0
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9	S-10	S-11	S-12	S-13	S-14	S-15	S-16	S-17	S-18	S-19
0	G-0	-3	-4	6	8	-7	-6	-6	-7	1	-1	6	4	-8	2	3	0	-8	9	1	-9	
1	G-1	0	7	-3	9	-6	-10	7	10	7	8	2	-4	-2	-10	3	1	10	10	-1	-9	
2	G-2	-1	6	0	9	7	4	2	3	-7	-8	-2	-2	-5	8	3	-3	10	5	-4	1	
3	G-3	0	-8	8	-3	0	9	-3	3	-2	-1	-7	2	2	7	-7	4	4	6	-7	6	
4	G-4	6	7	3	4	-4	-3	-5	9	8	3	0	1	-4	0	8	1	6	9	9	0	
5	G-5	-8	-2	-7	1	-2	5	-8	-2	-7	-2	8	-2	9	5	-7	8	0	4	-10	4	
6	G-6	-3	-4	4	10	-7	6	-4	0	8	8	7	1	10	-9	-10	0	6	4	-8	-8	
7	G-7	-5	-10	-8	7	0	7	-10	7	-3	-7	-9	5	-3	-7	-5	8	-5	-2	10	-9	
8	G-8	3	5	2	6	3	5	-3	5	9	-8	-6	-4	-4	-2	-4	-8	10	-8	-7	9	
9	G-9	-3	9	-4	0	0	-2	-4	-1	-3	3	4	-4	6	4	9	-4	-6	1	4	1	
Time	1
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9	S-10	S-11	S-12	S-13	S-14	S-15	S-16	S-17	S-18	S-19
0	G-0	-9	10	2	5	-5	-4	3	8	-1	-5	-6	-9	-8	-2	4	-9	-5	-8	0	-4	
1	G-1	-4	7	5	-8	0	-1	7	-3	5	6	-6	-6	-9	-9	0	-2	9	3	3	10	
2	G-2	-9	5	-8	-8	3	4	5	1	-4	-9	-9	-8	-9	-4	-7	-9	-1	-4	-6	3	
3	G-3	-4	2	5	-2	3	0	5	1	-9	2	-7	0	-7	-2	3	-6	-9	-9	-9	-2	
4	G-4	4	-2	-9	9	-7	5	-7	7	-6	-8	-4	-5	-5	-10	6	1	2	-5	-8	-7	
5	G-5	7	6	-7	-8	-5	2	-3	4	-5	-6	8	4	7	4	-2	3	9	-3	-6	1	
6	G-6	-1	-6	9	6	1	4	8	-5	10	10	2	8	3	6	9	-5	10	-1	6	10	
7	G-7	1	-7	-3	-6	3	9	7	-10	6	-5	0	-7	7	5	-6	2	1	-9	2	-6	
8	G-8	-10	-8	2	5	-4	4	6	10	2	0	-10	-5	-5	9	2	-9	0	-5	1	-6	
9	G-9	-7	3	-1	-6	-7	4	4	8	-5	-9	-4	-6	-4	6	-8	-7	0	-10	5	2	
Time	2
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9	S-10	S-11	S-12	S-13	S-14	S-15	S-16	S-17	S-18	S-19
0	G-0	7	5	-5	6	5	3	-4	-10	0	4	10	6	-5	-4	-3	8	10	-1	1	-9	
1	G-1	5	-2	2	-3	9	-1	0	-7	5	8	8	-4	10	0	-2	7	0	6	5	-4	
2	G-2	8	-8	6	3	9	-4	-10	-8	-1	-5	9	2	-1	-3	1	-1	-2	-3	7	2	
3	G-3	3	2	-3	2	-3	-8	-3	10	-9	-2	0	6	3	-5	1	10	-9	0	-3	-8	
4	G-4	9	10	-8	8	-3	9	-8	5	0	-3	4	9	8	-5	-4	9	4	4	-9	-8	
5	G-5	-1	-5	-5	-3	0	-3	-7	-3	0	2	5	-2	0	1	8	8	5	7	-8	4	
6	G-6	-8	1	5	-10	10	-9	9	5	9	9	4	-1	-7	-1	-2	9	-5	2	8	2	
7	G-7	1	1	-5	-2	9	0	-9	6	2	0	5	-3	-6	4	8	6	1	10	1	-8	
8	G-8	7	7	-3	-2	6	-2	-3	5	0	7	-1	-1	-3	10	3	-1	-8	-2	2	4	
9	G-9	8	-4	-4	10	-1	-8	-2	1	7	-4	5	6	7	9	-9	3	-8	3	10	0	
